[2017-05-18 10:12:32] Initializing upgrade...
[2017-05-18 10:12:38] Removing file C:\Users\Mike\Documents\mekormaUpgrade\CMS\CMSDesk\Default.aspx.cs
[2017-05-18 10:12:38] Removing file C:\Users\Mike\Documents\mekormaUpgrade\CMS\CMSFormControls\Dialogs\FolderSelector.ascx
[2017-05-18 10:12:38] Removing file C:\Users\Mike\Documents\mekormaUpgrade\CMS\CMSFormControls\Dialogs\FolderSelector.ascx.cs
[2017-05-18 10:12:38] Removing file C:\Users\Mike\Documents\mekormaUpgrade\CMS\CMSModules\AdminControls\Controls\ObjectRelationships\ObjectRelationships.ascx
[2017-05-18 10:12:38] Removing file C:\Users\Mike\Documents\mekormaUpgrade\CMS\CMSModules\AdminControls\Controls\ObjectRelationships\ObjectRelationships.ascx.cs
[2017-05-18 10:12:38] Removing file C:\Users\Mike\Documents\mekormaUpgrade\CMS\CMSModules\AdminControls\Pages\ObjectRelationships.aspx
[2017-05-18 10:12:38] Removing file C:\Users\Mike\Documents\mekormaUpgrade\CMS\CMSModules\AdminControls\Pages\ObjectRelationships.aspx.cs
[2017-05-18 10:12:38] Removing file C:\Users\Mike\Documents\mekormaUpgrade\CMS\CMSModules\ContactManagement\Controls\UI\Account\FilterSuggest.ascx
[2017-05-18 10:12:38] Removing file C:\Users\Mike\Documents\mekormaUpgrade\CMS\CMSModules\ContactManagement\Controls\UI\Account\FilterSuggest.ascx.cs
[2017-05-18 10:12:38] Removing file C:\Users\Mike\Documents\mekormaUpgrade\CMS\CMSModules\ContactManagement\Controls\UI\Account\MergeChoose.ascx
[2017-05-18 10:12:38] Removing file C:\Users\Mike\Documents\mekormaUpgrade\CMS\CMSModules\ContactManagement\Controls\UI\Account\MergeChoose.ascx.cs
[2017-05-18 10:12:38] Removing file C:\Users\Mike\Documents\mekormaUpgrade\CMS\CMSModules\ContactManagement\Controls\UI\Account\MergeSplit.ascx
[2017-05-18 10:12:38] Removing file C:\Users\Mike\Documents\mekormaUpgrade\CMS\CMSModules\ContactManagement\Controls\UI\Account\MergeSplit.ascx.cs
[2017-05-18 10:12:38] Removing file C:\Users\Mike\Documents\mekormaUpgrade\CMS\CMSModules\ContactManagement\Controls\UI\Account\MergeSuggested.ascx
[2017-05-18 10:12:38] Removing file C:\Users\Mike\Documents\mekormaUpgrade\CMS\CMSModules\ContactManagement\Controls\UI\Account\MergeSuggested.ascx.cs
[2017-05-18 10:12:38] Removing file C:\Users\Mike\Documents\mekormaUpgrade\CMS\CMSModules\ContactManagement\Controls\UI\Activity\Details.ascx
[2017-05-18 10:12:38] Removing file C:\Users\Mike\Documents\mekormaUpgrade\CMS\CMSModules\ContactManagement\Controls\UI\Activity\Details.ascx.cs
[2017-05-18 10:12:38] Removing file C:\Users\Mike\Documents\mekormaUpgrade\CMS\CMSModules\ContactManagement\Controls\UI\Activity\Edit.ascx
[2017-05-18 10:12:38] Removing file C:\Users\Mike\Documents\mekormaUpgrade\CMS\CMSModules\ContactManagement\Controls\UI\Activity\Edit.ascx.cs
[2017-05-18 10:12:38] Removing file C:\Users\Mike\Documents\mekormaUpgrade\CMS\CMSModules\ContactManagement\Controls\UI\Activity\Filter.ascx
[2017-05-18 10:12:38] Removing file C:\Users\Mike\Documents\mekormaUpgrade\CMS\CMSModules\ContactManagement\Controls\UI\Activity\Filter.ascx.cs
[2017-05-18 10:12:38] Removing file C:\Users\Mike\Documents\mekormaUpgrade\CMS\CMSModules\ContactManagement\Controls\UI\Activity\List.ascx
[2017-05-18 10:12:38] Removing file C:\Users\Mike\Documents\mekormaUpgrade\CMS\CMSModules\ContactManagement\Controls\UI\Activity\List.ascx.cs
[2017-05-18 10:12:38] Removing file C:\Users\Mike\Documents\mekormaUpgrade\CMS\CMSModules\ContactManagement\Controls\UI\ActivityDetails\AbuseReport.ascx
